gender,count
"Adventure,Reality-TV,Sport",4
"Adventure,Talk-Show",4
"Adventure,War",4
"Adventure,Western",4
"Animation,Biography,Fantasy",4
"Animation,Crime",4
"Animation,Documentary,Music",4
"Animation,Documentary,Musical",4
"Animation,Drama,War",4
"Animation,Fantasy,Short",4
"Animation,Fantasy,Thriller",4
"Animation,Music,Musical",4
"Animation,Music,Short",4
"Animation,Thriller",4
"Biography,Comedy,History",4
"Biography,Comedy,Horror",4
"Biography,Comedy,Reality-TV",4
"Biography,Crime",4
"Biography,Documentary,Sci-Fi",4
"Biography,History,News",4
"Biography,War",4
"Comedy,Crime,Music",4
"Comedy,Crime,Sci-Fi",4
"Comedy,Drama,Game-Show",4
"Comedy,Drama,News",4
"Comedy,Fantasy,Talk-Show",4
"Comedy,Music,Mystery",4
"Comedy,Mystery,Short",4
"Comedy,Reality-TV,Romance",4
"Comedy,Sci-Fi,Western",4
"Crime,Documentary,Music",4
"Crime,Fantasy",4
"Documentary,Game-Show,Music",4
"Documentary,News,Sport",4
"Drama,Mystery,Reality-TV",4
"Drama,Mystery,War",4
"Drama,Talk-Show",4
"Family,Fantasy,Sci-Fi",4
"Family,Music,Musical",4
"Family,Musical,Romance",4
"Fantasy,Music,Musical",4
"Fantasy,Western",4
"Game-Show,Music,Talk-Show",4
"Game-Show,Musical",4
"Game-Show,Mystery,Reality-TV",4
"Game-Show,Romance",4
"History,Horror,Thriller",4
"History,Music,Talk-Show",4
"History,Mystery,Romance",4
"History,News",4
"History,Romance,War",4
"Horror,Mystery,Reality-TV",4
"Horror,Romance,Sci-Fi",4
"Horror,Sci-Fi,Short",4
"Horror,Short,Thriller",4
"Musical,Mystery",4
"Musical,Sci-Fi",4
"Musical,Talk-Show",4
"Mystery,Talk-Show",4
"News,Short,Talk-Show",4
"Reality-TV,Sport,Talk-Show",4
"Romance,Western",4
"Sci-Fi,War",4
"Sci-Fi,Western",4
"Action,Adult,Crime",3
"Action,Animation,Documentary",3
